periodValue,IndexTracking|Sim101,Sim101
7/6/18,0.613744808,-1.010312
7/7/18,0,-1.016112
7/9/18,1.538012801,-1.042206
7/10/18,1.888720234,-1.142025
7/12/18,1.936214072,-0.005725
7/13/18,1.976405454,-0.002681
7/14/18,0,-0.0027
7/15/18,0,-0.0027
7/16/18,1.965435046,-0.057875
7/17/18,2.48054251,-0.188012
7/18/18,2.637640086,0.0064
7/19/18,2.286921505,-0.506381
7/20/18,2.180985718,-0.419625
7/21/18,0,-0.807325
7/22/18,0,-0.807325
7/23/18,2.495158572,-0.670137
7/24/18,2.91527836,-0.750812
7/25/18,3.799366121,-0.724306
7/26/18,3.616704374,-0.871994
7/27/18,2.728970959,-0.931625
7/28/18,0,-0.931675
7/29/18,0,-0.931675
7/30/18,2.217509149,0
7/31/18,3.024882098,-1.0998
8/1/18,2.538995607,-1.187931
8/2/18,3.149090748,-1.195794
8/3/18,3.62400683,-1.250669
